group_type,group,frame,rank,tfidf,distilbert
period,2_pres_campaign,political,1,dedi,mensupları
period,2_pres_campaign,political,2,araya,borsalar
period,2_pres_campaign,political,3,parti,saygıdeğer
period,2_pres_campaign,political,4,kentsel,bayramı
period,2_pres_campaign,political,5,millet,i̇ttifakı
period,2_pres_campaign,political,6,bugün,aziz
period,2_pres_campaign,political,7,söz,kardeşlerim
period,2_pres_campaign,political,8,deprem,kıymetli
period,2_pres_campaign,political,9,eden,kuruluş
period,2_pres_campaign,political,10,ak parti,sizleri
period,2_pres_campaign,development,1,geçici,tahsisi
period,2_pres_campaign,development,2,inşa,sokak
period,2_pres_campaign,development,3,konut,planını
period,2_pres_campaign,development,4,iş,muzda
period,2_pres_campaign,development,5,araya,borsalar
period,2_pres_campaign,development,6,devam ediyor,sizleri
period,2_pres_campaign,development,7,ediyor,millet
period,2_pres_campaign,development,8,şehrin,bölüm
period,2_pres_campaign,development,9,eğitim,geldi
period,2_pres_campaign,development,10,teslim,duygularımla
period,2_pres_campaign,sustainability,1,çevre,bahçesi
period,2_pres_campaign,sustainability,2,klim,depremde
period,2_pres_campaign,sustainability,3,yeşil,vatandaşımız
period,2_pres_campaign,sustainability,4,bahçesi,kirişci
period,2_pres_campaign,sustainability,5,yüzde,planını
period,2_pres_campaign,sustainability,6,millet bahçesi,temi̇z
period,2_pres_campaign,sustainability,7,dönüşümü,bölüm
period,2_pres_campaign,sustainability,8,atık,gençlerle
period,2_pres_campaign,sustainability,9,dedi,risk
period,2_pres_campaign,sustainability,10,olacak,sokak
period,3_inter_election,technical,1,dönüşüm,teslim
period,3_inter_election,technical,2,kentsel,güvenli
period,3_inter_election,technical,3,deprem,ortaya
period,3_inter_election,technical,4,bilgiler,sağlam
period,3_inter_election,technical,5,kentsel dönüşüm,inşa
period,3_inter_election,technical,6,inşa,şehirlerin
period,3_inter_election,technical,7,şekilde,medya
period,3_inter_election,technical,8,çalışmalar,dönüşümün
period,3_inter_election,technical,9,köy,yol
period,3_inter_election,technical,10,konut,sektör
period,3_inter_election,political,1,deprem,bahçesi
period,3_inter_election,political,2,eden,saracağiz
period,3_inter_election,political,3,dedi,çocuğunu
period,3_inter_election,political,4,şehircilik,i̇nşallah
period,3_inter_election,political,5,çevre şehircilik,cumhurbaşkanımızın
period,3_inter_election,political,6,kentsel,meteoroloji
period,3_inter_election,political,7,allah,afet
period,3_inter_election,political,8,parti,ziyaretlerde
period,3_inter_election,political,9,araya,kayseri̇
period,3_inter_election,political,10,depremzede,forumu
period,3_inter_election,development,1,iş,avcılık
period,3_inter_election,development,2,inşa,1620
period,3_inter_election,development,3,yerinde,etap
period,3_inter_election,development,4,deprem,tesisleri
period,3_inter_election,development,5,bilgiler,tamamlandı
period,3_inter_election,development,6,eğitim,projesi
period,3_inter_election,development,7,konut,incelemelerde
period,3_inter_election,development,8,ediyor,sizleri
period,3_inter_election,development,9,devam ediyor,merkezimizde
period,3_inter_election,development,10,devam,bulundu
period,3_inter_election,sustainability,1,çevre,konferansı
period,3_inter_election,sustainability,2,atık,karbon
period,3_inter_election,sustainability,3,klim,çevresel
period,3_inter_election,sustainability,4,sıfır,şehi̇rci̇li̇k
period,3_inter_election,sustainability,5,iklim,başkani
period,3_inter_election,sustainability,6,sıfır atık,yeşi̇l
period,3_inter_election,sustainability,7,yeşil,sertifika
period,3_inter_election,sustainability,8,çalışmalar,planı
period,3_inter_election,sustainability,9,birleşmiş,stratejisi
period,3_inter_election,sustainability,10,dedi,cop28
period,4_local_campaign,technical,1,kentsel,ulaştırma
period,4_local_campaign,technical,2,dönüşüm,muhalefeti̇n
period,4_local_campaign,technical,3,kentsel dönüşüm,rantsal
period,4_local_campaign,technical,4,deprem,dönüşüme
period,4_local_campaign,technical,5,ay,mensupları
period,4_local_campaign,technical,6,konut,bakani
period,4_local_campaign,technical,7,li,yatirim
period,4_local_campaign,technical,8,hak,inşası
period,4_local_campaign,technical,9,şekilde,kardeşlerim
period,4_local_campaign,technical,10,köy,teslim
period,4_local_campaign,political,1,allah,geleceğimizin
period,4_local_campaign,political,2,deprem,saygıdeğer
period,4_local_campaign,political,3,bugün,kardeşlerim
period,4_local_campaign,political,4,inşallah,inşaatına
period,4_local_campaign,political,5,eden,kura
period,4_local_campaign,political,6,kentsel,gençler
period,4_local_campaign,political,7,söz,konutun
period,4_local_campaign,political,8,millet,sizleri
period,4_local_campaign,political,9,hizmet,toki̇
period,4_local_campaign,political,10,hak,kıymetli
period,4_local_campaign,development,1,teslim,ulaştırma
period,4_local_campaign,development,2,hak,sitesi
period,4_local_campaign,development,3,ediyor,dönüşümü
period,4_local_campaign,development,4,konut,inşası
period,4_local_campaign,development,5,devam,toki̇
period,4_local_campaign,development,6,devam ediyor,güneşli
period,4_local_campaign,development,7,eğitim,gençler
period,4_local_campaign,development,8,deprem,mübarek
period,4_local_campaign,development,9,toki,sizleri
period,4_local_campaign,development,10,iş,mensupları
period,4_local_campaign,sustainability,1,çevre,maden
period,4_local_campaign,sustainability,2,atık,ilçesindeki
